experiment,backbone,image_size,external,metadata,fold,epochs,best_epoch,roc_auc,pr_auc,sens_at_95_spec,best_threshold,f1_at_best_threshold,tta,n_train,n_val,val_positives,minutes
final_tf_efficientnet_b4_300,tf_efficientnet_b4,300,True,True,0,12,10,0.8862880249977025,0.22529535061704353,0.5726495726495726,0.5255647301673889,0.32,4,51228,6627,117,138.56702080567678
final_tf_efficientnet_b4_300,tf_efficientnet_b4,300,True,True,1,12,8,0.901175957957417,0.16885534206668287,0.46551724137931033,0.610046923160553,0.2892561983471074,4,51230,6625,116,139.61317133108776
final_tf_efficientnet_b4_300,tf_efficientnet_b4,300,True,True,2,12,11,0.9182353097087121,0.2901088915125684,0.6206896551724138,0.577045738697052,0.3682310469314079,4,51234,6621,116,139.1552536169688
final_tf_efficientnet_b4_300,tf_efficientnet_b4,300,True,True,3,12,10,0.9119031960377375,0.2762642025532968,0.5299145299145299,0.6790943741798401,0.34854771784232363,4,51227,6628,117,139.20754021803538
final_tf_efficientnet_b4_300,tf_efficientnet_b4,300,True,True,4,12,11,0.9254661863495115,0.30444447738294494,0.6101694915254238,0.4467882513999939,0.35443037974683544,4,51230,6625,118,139.10402660767238
